main_category,code,url,product_name,nutrition_grade_fr,energy,proteins,stores_y
Meat,5400247028563,https://fr.openfoodfacts.org/produit/5400247028563/10-new-burgers-surgeles-winny,10 New Burgers surgelés,-,800,12,Cora
Meat,2660499038960,https://fr.openfoodfacts.org/produit/2660499038960/ribs-de-boeuf-cuit-dans-sa-sauce-barbecue-tendre-et-plus,ribs de boeuf cuit dans sa sauce barbecue,d,841,17.6,
Meat,3181232126847,https://fr.openfoodfacts.org/produit/3181232126847/viande-hachee-15-leader-price,Viande hachée 15%,-,-,-,leader price
Meat,3181232200004,https://fr.openfoodfacts.org/produit/3181232200004/2-bifteck-charal,2 Bifteck,-,465,23,Carrefour
Breakfast cereals,20228064,https://fr.openfoodfacts.org/produit/20228064/muesli-bio-croustillant-sucre-aux-fruits-rouges,"Muesli bio croustillant, sucré, aux fruits rouges",d,1766,7.9,
Breakfast cereals,3560070614172,https://fr.openfoodfacts.org/produit/3560070614172/cornflakes-carrefour,Cornflakes,c,1586,7.2,Carrefour
Breakfast cereals,3596710446605,https://fr.openfoodfacts.org/produit/3596710446605/crousty-noix-auchan,Crousty noix,a,1954,9.8,Auchan
Breakfast cereals,3596710446605,https://fr.openfoodfacts.org/produit/3596710446605/crousty-noix-auchan,Crousty noix,a,1954,9.8,simply
Breakfast cereals,24026086,https://fr.openfoodfacts.org/produit/24026086/muesli-crujiente-con-frutos-secos-goldenbrige,Muesli crujiente con frutos secos,d,1992,10.4,
Breakfast cereals,4104420180420,https://fr.openfoodfacts.org/produit/4104420180420/alnatura-fruchte-musli,Alnatura Früchte Müsli,a,1339,8,Alnatura
Breakfast cereals,8710100127300,https://fr.openfoodfacts.org/produit/8710100127300/cruesli-chocolate-quaker,Cruesli Chocolate,c,1904,8.1,
Breakfast cereals,3564707129725,https://fr.openfoodfacts.org/produit/3564707129725/muesli-croustillant-tout-chocolat-bio-bio-village,Muesli croustillant tout chocolat bio,c,1830,9.2,Leclerc
Breakfast cereals,0058449772019,https://fr.openfoodfacts.org/produit/0058449772019/organic-granola-dark-chocolate-macaroon-nature-s-path,Organic Granola - Dark Chocolate Macaroon,d,2054,7.2727272727273,Maxi
Breakfast cereals,3347431913316,https://fr.openfoodfacts.org/produit/3347431913316/corn-flakes-petales-de-mais-bio-naturaline,Corn Flakes Pétales De Maïs Bio,c,1544,8,Cora
Breakfast cereals,3111900350588,https://fr.openfoodfacts.org/produit/3111900350588/miel-sarrasin-joseph-favrichon,Miel & Sarrasin,c,1870,6.6,
Breakfast cereals,3229820786605,https://fr.openfoodfacts.org/produit/3229820786605/crousti-avoine-bjorg,Crousti' Avoine,c,1816,9.3,
Breakfast cereals,4010355219251,https://fr.openfoodfacts.org/produit/4010355219251/dm-bio-corn-flakes-dmbio,DM Bio Corn Flakes,c,1608,7.1,dm
Breakfast cereals,3380380077845,https://fr.openfoodfacts.org/produit/3380380077845/flocon-de-seigle-idenat,Flocon de seigle,a,1326,9.5,
Breakfast cereals,3229820019307,https://fr.openfoodfacts.org/produit/3229820019307/flocons-d-avoine-complete-bjorg,Flocons d’Avoine Complète,a,1515,11,Auchan
Breakfast cereals,3229820019307,https://fr.openfoodfacts.org/produit/3229820019307/flocons-d-avoine-complete-bjorg,Flocons d’Avoine Complète,a,1515,11,Leclerc
Breakfast cereals,3229820019307,https://fr.openfoodfacts.org/produit/3229820019307/flocons-d-avoine-complete-bjorg,Flocons d’Avoine Complète,a,1515,11,Magasins U
Breakfast cereals,3229820019307,https://fr.openfoodfacts.org/produit/3229820019307/flocons-d-avoine-complete-bjorg,Flocons d’Avoine Complète,a,1515,11,Carrefour Market
Breakfast cereals,3159470004029,https://fr.openfoodfacts.org/produit/3159470004029/country-store-kellogg-s,Country Store,c,1536,9.1,Auchan
Breakfast cereals,3159470004029,https://fr.openfoodfacts.org/produit/3159470004029/country-store-kellogg-s,Country Store,c,1536,9.1,Magasins U
Breakfast cereals,3159470004029,https://fr.openfoodfacts.org/produit/3159470004029/country-store-kellogg-s,Country Store,c,1536,9.1,Delhaize
Breakfast cereals,5419980021823,https://fr.openfoodfacts.org/produit/5419980021823/granola-au-chocolat-noir-et-fleur-de-sel-bamboo,Granola au chocolat noir et fleur de sel,c,1966,12.8,
Breakfast cereals,4104420226616,https://fr.openfoodfacts.org/produit/4104420226616/flocons-d-avoine-alnatura,Flocons d'avoine,-,1469,11,Alnatura
Breakfast cereals,52590030,https://fr.openfoodfacts.org/produit/52590030/flocons-d-avoine-complete-quaker,Flocons d'avoine complète,-,1570,11,Intermarché
Breakfast cereals,9004617062926,https://fr.openfoodfacts.org/produit/9004617062926/bio-cornflakes-ungesusst-verival,"Bio Cornflakes, Ungesüßt",c,1556,6.5999999046326,
Breakfast cereals,4260188780613,https://fr.openfoodfacts.org/produit/4260188780613/mymuesli,Mymuesli,c,1803,12.6,
Breakfast cereals,7610200246745,https://fr.openfoodfacts.org/produit/7610200246745/flocons-d-avoine-complets-migros,Flocons d\'avoine complets,a,1570,13,Migros
Breakfast cereals,3273120026930,https://fr.openfoodfacts.org/produit/3273120026930/epicerie-petit-dejeuner-cereales-petit-dejeuner-celnat,Epicerie / Petit Déjeuner / Céréales Petit Déjeuner,a,1485,12,
Breakfast cereals,3421557108075,https://fr.openfoodfacts.org/produit/3421557108075/muesli-noisettes-grillon-d-or,Muesli noisettes,a,1548,9.5,
Breakfast cereals,4008713704679,https://fr.openfoodfacts.org/produit/4008713704679/muesli-crunchy-joe-s-farm,Muesli Crunchy,d,1862,9.3,Noz
Breakfast cereals,5400141210897,https://fr.openfoodfacts.org/produit/5400141210897/bio-muesli-boni,Bio muesli,a,1502,9.2,Colruyt
Breakfast cereals,7613034709219,https://fr.openfoodfacts.org/produit/7613034709219/gofree-cornflakes-nestle,GoFree Cornflakes,b,1598,7.4,Auchan
Breakfast cereals,3760094310092,https://fr.openfoodfacts.org/produit/3760094310092/mon-granola-bio-chocolat-a-o,Mon granola bio chocolat,b,1887,12.199999809265,intermarche
Breakfast cereals,20202859,https://fr.openfoodfacts.org/produit/20202859/premium-muesli-frutos-secos-y-fruta-crownfield,Premium muesli frutos secos y fruta,c,1633,7.8,LIDL
